date,open,high,low,close,Adj Close,volume
2014-01-01,1770,1776.900024,1756.550049,1764,1686.649292,214453
2014-01-02,1759,1814.800049,1759,1768.400024,1690.856445,1565710
2014-01-03,1766,1808.650024,1752.25,1798.599976,1719.732056,583504
2014-01-06,1805,1819.400024,1792.550049,1807.699951,1728.433228,549379
2014-01-07,1838,1854.25,1820.099976,1845.75,1764.814697,1614578
2014-01-08,1850,1860,1827.050049,1837.5,1756.926392,1398622
2014-01-09,1858.800049,1859,1801.099976,1811.800049,1732.353516,947521
2014-01-10,1811.099976,1814.550049,1768,1794.099976,1715.429565,670378
2014-01-13,1800,1814.75,1765,1782.75,1704.577271,559984
2014-01-14,1783,1791.800049,1759.099976,1773.349976,1695.589478,530939
2014-01-15,1790,1807,1767.099976,1800.099976,1721.166382,612338
2014-01-16,1803.099976,1810.800049,1785,1789.849976,1711.365723,429527
2014-01-17,1778.199951,1808.800049,1766.300049,1775.199951,1697.358276,310359
2014-01-20,1774,1797.349976,1762,1778.199951,1700.226685,340046
2014-01-21,1782,1812.699951,1782,1801.900024,1722.887329,541958
2014-01-22,1805.5,1819,1795,1807.849976,1728.576538,424767
2014-01-23,1796.099976,1819.900024,1788.449951,1793.800049,1715.1427,493794
2014-01-24,1784.900024,1804.900024,1769.25,1774.25,1696.449951,377713
2014-01-27,1755,1755,1690,1702.300049,1627.654907,923081
2014-01-28,1715,1751.5,1540.400024,1566,1497.331543,6599087
2014-01-29,1615.199951,1697.800049,1615.199951,1673.849976,1600.452393,6737926
2014-01-30,1668,1674,1625.599976,1635.900024,1564.166504,1651215
2014-01-31,1655,1655,1620.849976,1636.25,1564.501221,729347
2014-02-03,1620,1660,1613.050049,1618.5,1547.529419,957497
2014-02-04,1601,1630,1590,1619.650024,1548.628906,703285
2014-02-05,1619,1623.099976,1602.099976,1606.699951,1536.24707,627278
2014-02-06,1610.199951,1644.949951,1593,1639.699951,1567.799805,1237835
2014-02-07,1654.949951,1670.400024,1648.5,1664.949951,1591.942627,921283
2014-02-10,1665,1701.599976,1665,1688.849976,1614.794556,896683
2014-02-11,1690.25,1698,1668.099976,1678.150024,1604.563965,294694
2014-02-12,1685,1689.800049,1643.099976,1647.699951,1575.449219,442825
2014-02-13,1646,1658.800049,1632.5,1641.25,1569.28186,439092
2014-02-14,1642,1653.550049,1615.650024,1643.400024,1571.337524,451950
2014-02-17,1635,1674.900024,1635,1665.699951,1592.659668,617227
2014-02-18,1675,1733.650024,1666.099976,1708.449951,1633.535156,954637
2014-02-19,1714,1721,1692,1698.099976,1623.639038,341015
2014-02-20,1697,1706,1674.199951,1683.300049,1609.488159,344996
2014-02-21,1686.099976,1702.400024,1671.550049,1675.599976,1602.125732,340948
2014-02-24,1675,1695,1645.800049,1684.400024,1610.539795,326898
2014-02-25,1690.099976,1693.900024,1672.400024,1678,1604.42041,245384
2014-02-26,1668,1684.099976,1651,1664.050049,1591.082275,584837
2014-02-28,1640,1659.050049,1573,1589,1519.32312,1768632
2014-03-03,1582,1616.900024,1575,1582.199951,1512.821045,1060385
2014-03-04,1577,1603,1550,1597.400024,1527.354736,797764
2014-03-05,1614.699951,1636.949951,1593.550049,1625.400024,1554.127075,728060
2014-03-06,1629.699951,1657,1618,1650.449951,1578.078369,422906
2014-03-07,1655,1747,1640.199951,1735.050049,1658.968994,944177
2014-03-10,1730,1817.25,1716.650024,1801.099976,1722.122559,1324717
2014-03-11,1804,1811.699951,1744.800049,1754.150024,1677.231201,703249
2014-03-12,1725,1791,1680,1764.050049,1686.697388,1443683
2014-03-13,1766,1790.900024,1733,1747.349976,1670.72937,641720
2014-03-14,1715,1756.349976,1710,1738.449951,1662.219604,588996
2014-03-18,1900,1909,1852.25,1868.199951,1786.280151,1795672
2014-03-19,1873,1889,1850.75,1869.75,1787.762207,621508
2014-03-20,1869,1874.800049,1848.050049,1856.550049,1775.141113,310199
2014-03-21,1856.550049,1879.25,1856.550049,1868.550049,1786.61499,284182
2014-03-22,null,null,null,null,null,null
2014-03-24,1877.650024,1903,1873.25,1886.300049,1803.58667,329812
2014-03-25,1881,1912,1875.849976,1901.699951,1818.311279,395158
2014-03-26,1911,1949,1911,1937.099976,1852.159058,634815
2014-03-27,1941,1968.400024,1920.150024,1935.550049,1850.677002,825829
