date,open,high,low,close,Adj Close,volume
2014-03-05,673.5,675,662.5,669.75,645.373901,1001746
2014-03-06,673,677.700012,668.099976,675.599976,651.010864,1237170
2014-03-07,679.599976,714.900024,676.200012,711.450012,685.556213,5691892
2014-03-10,706.5,736.900024,700,734.450012,707.719116,6530963
2014-03-11,734.5,740,719.549988,725.150024,698.757507,3250118
2014-03-12,721.25,733,716.5,725.549988,699.142944,1777554
2014-03-13,727.5,749.5,727.5,742.349976,715.331604,2862113
2014-03-14,735,739.900024,724,732.150024,705.502808,3052120
2014-03-18,735.400024,744.799988,728.299988,734,707.285461,2025681
2014-03-19,740,743.299988,735.75,738.450012,711.573486,1513784
2014-03-20,738.450012,738.450012,728,730.200012,703.623779,1298771
2014-03-21,735.150024,737.5,731.200012,733.849976,707.140869,1881398
2014-03-22,null,null,null,null,null,null
2014-03-24,734.5,752.900024,734,750.650024,723.329529,2928465
2014-03-25,750,760.549988,747.75,750.150024,722.847717,2007773
2014-03-26,752.799988,756.299988,744.099976,746.049988,718.896851,2352328
2014-03-27,750,760.75,742,746.75,719.57135,6138733
2014-03-28,749.950012,754.099976,735.049988,744.950012,717.836853,3040225
2014-03-31,747.950012,753,743.099976,748.799988,721.546814,2065607
2014-04-01,751.5,753.549988,732.549988,738.099976,711.236206,2012958
2014-04-02,744.950012,746,721.900024,731.900024,705.261841,2599688
2014-04-03,736,738,726.25,728.799988,702.274719,1389926
2014-04-04,725.549988,733,720.049988,725.450012,699.046692,1855602
2014-04-07,725,732,723.099976,725.349976,698.950195,2933289
2014-04-09,728.049988,744.900024,721.75,741.849976,714.849731,2630096
2014-04-10,744.650024,748.650024,736,739.400024,712.488892,1873698
2014-04-11,734.049988,744.799988,733.900024,738.150024,711.284363,1301988
2014-04-15,734.299988,738.799988,718.099976,723.950012,697.601196,2092967
2014-04-16,723.200012,731.799988,721.099976,725.950012,699.528381,893098
2014-04-17,716.25,721.299988,707.299988,718.700012,692.542297,3075582
2014-04-21,722.700012,726.5,713,716.450012,690.374207,1746938
